iter	Passed	Remaining
250	531	1587
251	533	1583
252	534	1579
253	535	1573
254	537	1570
255	538	1564
256	539	1559
257	540	1553
258	542	1551
259	543	1546
260	544	1541
261	546	1538
262	547	1533
263	549	1530
264	550	1527
265	551	1522
266	553	1518
267	554	1513
268	555	1508
269	557	1506
270	558	1503
271	559	1498
272	561	1494
273	563	1492
274	564	1489
275	566	1485
276	567	1481
277	568	1476
278	569	1472
279	570	1468
280	573	1466
281	574	1461
282	575	1456
283	575	1452
284	577	1449
285	578	1445
286	580	1440
287	581	1438
288	582	1434
289	583	1429
290	584	1425
291	587	1423
292	588	1419
293	589	1415
294	590	1411
295	592	1410
296	594	1407
297	595	1403
298	597	1399
299	598	1396
300	599	1392
301	601	1390
302	603	1387
303	604	1383
304	605	1379
305	606	1374
306	608	1372
307	609	1369
308	610	1365
309	611	1361
310	612	1357
311	613	1353
312	614	1349
313	618	1351
314	620	1348
315	622	1348
316	624	1344
317	625	1341
318	626	1338
319	627	1334
320	628	1330
321	629	1326
322	631	1323
323	633	1321
324	634	1317
325	635	1314
326	637	1312
327	638	1308
328	640	1305
329	641	1301
330	641	1297
331	642	1293
332	643	1289
333	644	1286
334	647	1284
335	648	1281
336	649	1277
337	650	1273
338	651	1270
339	652	1267
340	653	1263
341	654	1260
342	655	1256
343	656	1252
344	657	1248
345	658	1245
346	659	1241
347	661	1239
348	662	1236
349	663	1232
350	664	1229
351	665	1225
352	666	1221
353	667	1218
354	668	1215
355	669	1211
356	670	1208
357	672	1205
358	673	1202
359	674	1199
360	676	1198
361	677	1194
362	678	1191
363	679	1187
364	681	1186
365	683	1183
366	684	1180
367	685	1177
368	686	1174
369	687	1171
370	689	1168
371	691	1167
372	692	1164
373	694	1161
374	695	1158
375	696	1155
376	697	1153
377	699	1150
378	700	1147
379	701	1144
380	702	1141
381	703	1137
382	705	1135
383	706	1133
384	707	1130
385	708	1127
386	709	1124
387	710	1121
388	711	1118
389	712	1115
390	714	1112
391	715	1109
392	716	1106
393	717	1102
394	717	1099
395	718	1096
396	720	1094
397	721	1091
398	722	1088
399	724	1086
400	725	1083
401	726	1080
402	727	1077
403	728	1074
404	729	1072
405	730	1069
406	731	1066
407	732	1063
408	734	1061
409	736	1059
410	737	1056
411	738	1053
412	739	1050
413	740	1048
414	742	1046
415	744	1045
416	746	1043
417	749	1043
418	751	1041
419	752	1038
420	753	1035
421	754	1033
422	755	1030
423	756	1027
424	757	1025
425	758	1022
426	760	1020
427	761	1017
428	762	1014
429	764	1013
430	765	1010
431	766	1008
432	767	1005
433	768	1002
434	771	1001
435	772	999
436	773	996
437	775	994
438	776	991
439	777	989
440	778	986
441	780	985
442	781	982
443	782	980
444	783	977
445	785	976
446	786	973
447	787	970
448	788	968
449	789	965
450	790	962
451	791	960
452	792	957
453	795	956
454	796	954
455	797	951
456	799	949
457	800	947
458	801	944
459	802	941
460	803	939
461	804	936
462	805	934
463	806	931
464	807	929
465	809	927
466	810	925
467	811	922
468	812	920
469	814	918
470	815	915
471	816	913
472	817	910
473	818	908
474	819	905
475	820	903
476	821	900
477	822	898
478	824	897
479	826	895
480	828	894
481	829	891
482	831	890
483	832	887
484	833	885
485	834	882
486	835	880
487	836	878
488	837	875
489	841	875
490	842	873
491	843	870
492	844	868
493	845	866
494	846	864
495	848	861
496	849	860
497	851	857
498	852	855
499	855	855
500	857	853
501	858	851
502	859	849
503	860	847
504	862	844
505	863	842
506	864	840
507	865	838
508	866	835
509	867	833
510	872	834
511	874	833
512	876	832
513	879	831
514	881	830
515	886	831
516	887	829
517	888	827
518	890	825
519	891	822
520	892	820
521	893	818
522	895	816
523	896	814
524	897	812
525	901	812
526	903	810
527	905	809
528	907	807
529	908	805
530	910	804
531	912	802
532	915	802
533	917	801
534	919	799
535	920	796
536	921	794
537	923	792
538	924	790
539	925	788
540	926	786
541	928	784
542	930	782
543	931	780
544	932	778
545	933	776
546	934	774
547	935	771
548	937	769
549	938	768
550	940	766
551	941	764
552	944	763
553	945	760
554	946	758
555	947	756
556	948	754
557	950	752
558	951	750
559	952	748
560	954	746
561	955	744
562	959	744
563	961	742
564	962	740
565	964	739
566	965	737
567	967	735
568	968	733
569	969	731
570	971	729
571	974	729
572	976	727
573	977	725
574	978	723
575	979	721
576	981	719
577	983	718
578	985	716
579	989	716
580	993	716
581	995	715
582	997	713
583	1000	712
584	1004	712
585	1006	711
586	1008	709
587	1012	709
588	1016	709
589	1020	709
590	1022	707
591	1023	705
592	1025	703
593	1026	701
594	1028	700
595	1030	698
596	1031	696
597	1035	695
598	1037	694
599	1039	693
600	1041	691
601	1043	690
602	1045	688
603	1047	686
604	1051	686
605	1053	685
606	1055	683
607	1057	682
608	1060	680
609	1062	679
610	1067	679
611	1069	678
612	1072	677
613	1075	676
614	1077	674
615	1082	674
616	1084	673
617	1087	672
618	1089	670
619	1090	668
620	1092	666
621	1096	666
622	1098	664
623	1100	662
624	1104	662
625	1105	660
626	1107	658
627	1108	656
628	1112	656
629	1114	654
630	1115	652
631	1117	650
632	1118	648
633	1120	646
634	1121	644
635	1122	642
636	1123	640
637	1126	639
638	1128	637
639	1129	635
640	1130	633
641	1132	631
642	1133	629
643	1134	627
644	1135	625
645	1137	623
646	1138	621
647	1142	620
648	1143	618
649	1145	616
650	1146	614
651	1147	612
652	1149	610
653	1150	608
654	1151	606
655	1152	604
656	1154	602
657	1157	601
658	1159	599
659	1160	597
660	1164	597
661	1165	595
662	1167	593
663	1170	592
664	1171	590
665	1173	588
666	1174	586
667	1176	584
668	1177	582
669	1178	580
670	1179	578
671	1180	576
672	1182	574
673	1184	572
674	1185	570
675	1186	568
676	1188	566
677	1189	565
678	1191	563
679	1192	561
680	1194	559
681	1198	558
682	1200	557
683	1201	555
684	1205	554
685	1209	553
686	1211	551
687	1218	552
688	1223	552
689	1225	550
690	1231	550
691	1234	549
692	1236	547
693	1238	546
694	1240	544
695	1242	542
696	1245	541
697	1269	549
698	1277	550
699	1282	549
700	1285	548
701	1293	549
702	1297	547
703	1302	547
704	1308	547
705	1313	547
706	1316	545
707	1323	545
708	1326	544
709	1328	542
710	1330	540
711	1333	539
712	1340	539
713	1347	539
714	1349	537
715	1355	537
716	1360	537
717	1362	535
718	1365	533
719	1367	531
720	1369	530
721	1371	528
722	1373	526
723	1375	524
724	1377	522
725	1379	520
726	1381	518
727	1383	517
728	1386	515
729	1387	513
730	1391	512
731	1392	509
732	1394	507
733	1396	506
734	1397	504
735	1399	501
736	1400	499
737	1402	497
738	1406	496
739	1407	494
740	1409	492
741	1410	490
742	1411	488
743	1413	486
744	1414	484
745	1415	481
746	1417	479
747	1419	478
748	1421	476
749	1423	474
750	1424	472
751	1426	470
752	1427	468
753	1429	466
754	1430	464
755	1432	462
756	1436	461
757	1439	459
758	1440	457
759	1442	455
760	1444	453
761	1446	451
762	1447	449
763	1451	448
764	1452	446
765	1454	444
766	1455	442
767	1457	440
768	1458	438
769	1460	436
770	1461	434
771	1463	432
772	1466	430
773	1468	428
774	1469	426
775	1470	424
776	1472	422
777	1473	420
778	1476	418
779	1478	417
780	1480	415
781	1483	413
782	1484	411
783	1486	409
784	1487	407
785	1488	405
786	1490	403
787	1494	402
788	1495	400
789	1497	398
790	1498	395
791	1499	393
792	1501	391
793	1502	389
794	1503	387
795	1505	385
796	1507	383
797	1510	382
798	1511	380
799	1513	378
800	1514	376
801	1515	374
802	1517	372
803	1518	370
804	1519	368
805	1521	366
806	1524	364
807	1526	362
808	1527	360
809	1529	358
810	1531	356
811	1533	354
812	1534	352
813	1536	350
814	1539	349
815	1541	347
816	1543	345
817	1546	344
818	1547	342
819	1549	340
820	1550	338
821	1554	336
822	1555	334
823	1557	332
824	1558	330
825	1559	328
826	1561	326
827	1562	324
828	1563	322
829	1565	320
830	1566	318
831	1569	316
832	1571	314
833	1572	312
834	1573	311
835	1575	309
836	1576	307
837	1577	305
838	1579	303
839	1580	301
840	1584	299
841	1586	297
842	1587	295
843	1588	293
844	1590	291
845	1591	289
846	1592	287
847	1594	285
848	1595	283
849	1599	282
850	1601	280
851	1602	278
852	1605	276
853	1608	274
854	1610	273
855	1613	271
856	1615	269
857	1616	267
858	1618	265
859	1619	263
860	1620	261
861	1622	259
862	1623	257
863	1624	255
864	1626	253
865	1629	252
866	1631	250
867	1632	248
868	1634	246
869	1636	244
870	1638	242
871	1639	240
872	1640	238
873	1644	237
874	1647	235
875	1649	233
876	1651	231
877	1653	229
878	1655	227
879	1660	226
880	1664	224
881	1666	223
882	1668	221
883	1671	219
884	1675	217
885	1677	215
886	1679	214
887	1681	212
888	1683	210
889	1685	208
890	1690	206
891	1692	204
892	1693	202
893	1695	201
894	1697	199
895	1699	197
896	1700	195
897	1705	193
898	1706	191
899	1709	189
900	1711	188
901	1712	186
902	1714	184
903	1717	182
904	1719	180
905	1721	178
906	1723	176
907	1725	174
908	1727	172
909	1734	171
910	1737	169
911	1739	167
912	1741	165
913	1742	163
914	1746	162
915	1748	160
916	1750	158
917	1751	156
918	1753	154
919	1754	152
920	1756	150
921	1758	148
922	1762	147
923	1764	145
924	1765	143
925	1767	141
926	1769	139
927	1771	137
928	1772	135
929	1774	133
930	1776	131
931	1777	129
932	1778	127
933	1779	125
934	1781	123
935	1782	121
936	1783	119
937	1785	117
938	1786	116
939	1788	114
940	1790	112
941	1791	110
942	1792	108
943	1794	106
944	1795	104
945	1797	102
946	1798	100
947	1799	98
948	1800	96
949	1801	94
950	1805	93
951	1806	91
952	1808	89
953	1809	87
954	1810	85
955	1812	83
956	1813	81
957	1814	79
958	1815	77
959	1817	75
960	1820	73
961	1822	71
962	1826	70
963	1828	68
964	1830	66
965	1835	64
966	1845	62
967	1855	61
968	1861	59
969	1871	57
970	1874	55
971	1878	54
972	1879	52
973	1882	50
974	1885	48
975	1887	46
976	1889	44
977	1891	42
978	1897	40
979	1899	38
980	1900	36
981	1902	34
982	1904	32
983	1906	30
984	1910	29
985	1912	27
986	1914	25
987	1916	23
988	1918	21
989	1920	19
990	1921	17
991	1925	15
992	1927	13
993	1929	11
994	1930	9
995	1932	7
996	1934	5
997	1936	3
998	1941	1
999	1943	0
